dataset_key,dataset_label,delay_order,K,tau,theta,sse
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,29.166666666666668,120402.36801937092
sine,Sine Wave Test for Heater 1,2,0.5,143.33333333333334,30.0,120558.27793331216
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,10.0,124545.15304500089
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,10.833333333333334,124184.19282833135
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,11.666666666666666,123848.82563440848
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,12.5,123539.02788750615
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,13.333333333333334,123254.73793507845
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,14.166666666666668,122995.85685745745
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,15.0,122762.24936755492
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,15.833333333333334,122553.74479723969
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,16.666666666666668,122370.13816628873
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,17.5,122211.19132898608
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,18.333333333333336,122076.63419281185
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,19.166666666666668,121966.16600313652
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,20.0,121879.4566874466
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,20.833333333333336,121816.14825236921
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,21.666666666666668,121775.85622661706
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,22.5,121758.1711428759
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,23.333333333333336,121762.66005166557
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,24.166666666666668,121788.86806026226
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,25.0,121836.31988985943
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,25.833333333333336,121904.52144429303
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,26.666666666666668,121992.96138386213
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,27.5,122101.11269797184
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,28.333333333333336,122228.43427058551
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,29.166666666666668,122374.37243275972
sine,Sine Wave Test for Heater 1,2,0.5,146.66666666666666,30.0,122538.36249682518
sine,Sine Wave Test for Heater 1,2,0.5,150.0,10.0,126274.1770745615
